URL,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/data-analyst/52086956?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52064970?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52234392?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£30,000 - £40,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52204586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£40,000 - £45,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52045278?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£45,000 - £50,000 per annum",Permanent,full-time,Wolverhampton
https://www.reed.co.uk/jobs/data-analyst/52160383?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Leamington Spa
https://www.reed.co.uk/jobs/data-analyst/52101483?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£30,000 - £37,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52138532?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,Liverpool
https://www.reed.co.uk/jobs/data-analyst/52214773?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£30,000 - £40,000 per annum",Permanent,full-time,Romford
https://www.reed.co.uk/jobs/data-analyst/52179172?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52149191?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £60,000 per annum",Permanent,full-time,Hemel Hempstead
https://www.reed.co.uk/jobs/data-analyst/52176937?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Reading
https://www.reed.co.uk/jobs/data-analyst/52250940?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£35,000 - £40,000 per annum, inc benefits",Permanent,full-time,Gerrards Cross
https://www.reed.co.uk/jobs/data-analyst/52205852?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,Blackburn
https://www.reed.co.uk/jobs/data-analyst/52142272?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Stourport-on-Severn
https://www.reed.co.uk/jobs/data-analyst/52260557?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Bristol
https://www.reed.co.uk/jobs/data-analyst/52207081?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £40,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52086956?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52064970?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52234392?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £40,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52260011?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£45,000 - £50,000 per annum",Permanent,full-time,Manchester
https://www.reed.co.uk/jobs/data-analyst/52204586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£40,000 - £45,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52045278?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£45,000 - £50,000 per annum",Permanent,full-time,Wolverhampton
https://www.reed.co.uk/jobs/data-analyst/52159596?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,£400 - £450 per day,Contract,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52160383?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Leamington Spa
https://www.reed.co.uk/jobs/data-analyst/52046166?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,Salary negotiable,Permanent,full-time,Coventry
https://www.reed.co.uk/jobs/data-analyst/52101483?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £37,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52076986?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,Salary negotiable,Contract,full-time,Ireland
https://www.reed.co.uk/jobs/data-analyst/52082691?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,£450 per day,Contract,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52076617?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52123528?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,Competitive salary,Permanent,full-time,Milton Keynes
https://www.reed.co.uk/jobs/data-analyst/52138532?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,Liverpool
https://www.reed.co.uk/jobs/data-analyst/52118125?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,£36 - £450 per day,Contract,full-time,South West England
https://www.reed.co.uk/jobs/data-analyst/52214773?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £40,000 per annum",Permanent,full-time,Romford
https://www.reed.co.uk/jobs/data-analyst/52192556?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,£100 - £250 per day,Contract,full-time,Guildford
